sample_id,ME_um5_green,ME_um0_grey,ME_um1_turquoise,ME_um3_brown,ME_um8_pink,ME_um9_magenta,ME_um6_red,ME_um2_blue,ME_um4_yellow,ME_um7_black
AC23BRTL000211,-0.009736071644647182,0.05840250993446914,0.049422542951997224,-0.060727165802039185,0.00564212731046079,-0.03556264117755344,-0.0381024743552624,-0.06623628930906422,0.014010790797973183,0.03004672478891489
AC23BRTL000228,-0.017433502558173664,0.013149082851479291,0.031822422227709146,0.01070109698816113,0.0375007510974697,0.03715950646019564,-0.021144952081013454,-0.07446353764961167,-0.055685553437127666,-0.033495960157290165
AC23BRTL000229,0.03666159642219077,0.03528067163325004,0.014554987305425926,0.037951381776394504,0.07551829422462633,0.06220087626902326,-0.01704913415463624,-0.025234552861941192,-0.04417302019225529,-0.026240795046820444
AC23BRTL000276,0.039389879453271145,0.11944076150083116,0.021910955231356877,-0.05181332312593529,0.027772010065528017,-0.018166156096337413,-0.015877446812822053,-4.638823800679568e-4,0.0466915801047354,0.07899950587770746
AC23BRTL000280,0.06417502270709505,0.05572587133170733,-0.0019836899326521385,0.04288015064039057,0.07514735899111775,0.06769828770284676,-0.019891341675052465,-0.01741064667795282,-0.04199340253768792,-0.018901735479919454
AC23BRTL000787,0.04163633699985401,0.13693154644516434,0.03927844893047066,-0.05375725907991419,0.03150493474910341,-0.025446753295534783,-0.031024722590956844,-0.02189481757541647,0.038981017430487985,0.06482503507699983
AC23BRTL000804,-0.018354799369837953,0.017160421103289015,0.039248043966511506,0.01412353438477482,0.04682640360774841,0.04007809281409204,-0.028522839009323633,-0.0756609473817322,-0.05373104895716109,-0.029067983697119038
AC23BRTL000805,0.04316610659283756,0.0535367721639754,0.042470814438179044,0.036384277433064834,0.09311061526809737,0.05953358165198038,-0.02167693806909391,-0.03804739038770417,-0.0484936927997549,-0.026167348085767553
AC23BRTL000835,0.09219492320825758,0.10052182969930509,-0.05907185819080232,0.035672386812607135,0.08185990904085771,0.07009025562980015,-0.04287880892405944,-0.006638387568641286,-0.04005494775820947,-0.015124155804588589
AC23BRTL000852,0.011878696783589006,0.10281950398633682,0.0488708929488692,-0.05418341632446409,0.026913397778005207,-0.024484924290910644,-0.026806836467372815,-0.032009993494249295,0.028494751136110576,0.05249409518105162
AC23BRTL000856,0.10237087087968635,0.05974180418539331,-0.023468720448782822,0.06233079399492058,0.09056435378428765,0.08441436719481936,-0.01901635442615025,0.01962619957159976,-0.027612027456449605,-0.009665865500914238
AC23BRTL001171,0.025387869928063092,0.12893983600297984,0.041439624984949734,-0.06606031742372244,0.033547295483418775,-0.03535439482083083,-0.03294460201704201,-0.03262762542693099,0.02586526840543118,0.0564327986915349
AC23BRTL001189,0.04367181436426278,0.08008866898958618,0.02644665971262292,0.023029294133314653,0.08544643279673138,0.054628608701825024,-0.027997358720541096,-0.03737646364523741,-0.04973137561173872,-0.024145216263636003
AC23BRTL001219,0.01798867400589062,0.09352386164241168,0.043794792023445106,0.02133597553437069,0.09549965057430483,0.05283985184801583,-0.025549859838903146,-0.04235881160795087,-0.05347180705687516,-0.02125834242367439
AC23BRTL001747,0.001845890985538509,0.068151697309805,0.0403128738980625,-0.06252255790025558,0.007950979962751589,-0.033138735863870644,-0.03641560603341401,-0.049689743737841206,0.01798178204821854,0.03583384275896874
AC23BRTL001764,0.09571787443555442,0.06609721357590546,-0.0708547327785571,0.03959759123418175,0.06612529877876339,0.07148694962391995,-0.04901782646139081,0.011181586667158102,-0.03839112929778633,-0.0087634852862041
AC23BRTL001765,0.058363986856043625,0.02506126515260771,-0.04807394973961226,0.0389276947362991,0.05418615700947912,0.07069515516209922,-0.029782436687508934,0.014521798826861321,-0.04864411205724883,-0.014000042300448342
AC23BRTL001816,0.0770319943394898,0.03539139187984503,-0.028828101147160667,0.04355813231959278,0.0653974108320631,0.06959224675025041,-0.024054502293306995,0.01231250855125985,-0.034722064128272154,-0.012417738574941892
AC24BRTL000019,0.011361687301984622,0.06264642121956765,0.045883340876904793,-0.059423452987240936,0.0184063027328144,-0.03301760137161482,-0.037983322281467245,-0.05313248672854317,0.02236645662340518,0.04441671208832335
AC24BRTL000036,-0.017818151406753763,0.009602672758619559,0.047067255065347036,0.02088424542957658,0.053905645808436216,0.04641049073862405,-0.02816587064497857,-0.07524160733038618,-0.052592512637302184,-0.029171873207841623
AC24BRTL000037,-0.012722100451279748,0.011287029587435108,0.034095974382202396,0.02023737286429742,0.044716542289519566,0.04132883853765892,-0.02607020416754087,-0.06874778342040917,-0.053045857542478675,-0.029336538867719954
AC24BRTL000067,0.021037272984254396,-0.021303854315726414,-0.050250583902097606,-0.009657870874726337,0.02771157362487656,0.03647685533356818,-0.05387186009258836,-0.06202444550777081,-0.08540704046111704,-0.06124360402820341
AC24BRTL000084,0.018522661964969624,0.055531188443100746,0.056407344831167425,-0.06160940614822618,0.02200432682835172,-0.030419332151133772,-0.038069811204307545,-0.032779913815082835,0.037961222364821225,0.05246697647605901
AC24BRTL000115,-0.023700730468584497,0.02582599563553086,0.03575464973623403,-0.05897543068250458,-0.0131487497966248,-0.03400815825764503,-0.03499660597232068,-0.0661444824934897,0.013941123666760369,0.02748404084179099
AC24BRTL000132,0.06906902913840435,0.08287327435997208,0.0182861729664472,0.05647634820354441,0.09826135668152317,0.07975594020835046,-0.013494586173880486,-0.01609915510977265,-0.03658777281054564,-0.0061852434467877275
AC24BRTL000133,-0.022080787137937152,9.600965523945939e-5,0.026254995768954823,0.020625438763947228,0.033234448620734304,0.0407296260182707,-0.029152879016309072,-0.07493959021836741,-0.05778274477843825,-0.03248964750214627
AC24BRTL000163,0.06743990404991837,0.06755240168579513,-0.04747951337294188,0.044201115302985254,0.0701612510402783,0.07392709753500354,-0.04390695039626635,-0.010873718743058515,-0.05019204334699386,-0.020184530675142583
AC24BRTL000184,0.01681426665982503,0.03227448094606737,0.024523247531526494,0.04592543358661014,0.04312166963190346,0.05333467968094807,-0.007636186413296037,-0.03195333832069915,-0.04124234492028892,-0.012869359305856596
AC24BRTL000307,-0.02776370955067563,0.05756828038323455,-0.008104938632995908,-0.06371310292686513,-0.025004566591059152,-0.04143067772923272,-0.04200762632476344,-0.052008225891622906,0.01390223559227481,0.02925402754872017
AC24BRTL000324,-0.04515347170942428,-0.02696202924267928,0.01930412152427492,-0.0031887981660963967,0.025453105369245558,0.028336768831614574,-0.046486470708426014,-0.09349231718256565,-0.07280170836850518,-0.04077002277912912
AC24BRTL000325,-0.018415710911602625,-0.01288943664750258,0.0290361147557024,0.015373455519405034,0.042565029876951495,0.04380326760718633,-0.03268026638964069,-0.07551717008177687,-0.063773235966364,-0.03209182117200745
AC24BRTL000403,0.033665139991066594,0.1495674446764914,0.012130514589887235,-0.05688004266183761,0.021432834957186002,-0.030043593864533206,-0.03939804613756601,-0.023541201374966687,0.03968635966579859,0.05640833071489085
AC24BRTL000420,0.011939519305168013,0.03473290210926215,0.02963043923695322,0.019376270137911274,0.0630521869723618,0.042228367217214596,-0.02996665322636671,-0.06429806841848505,-0.0492783136614417,-0.024965658003636437
AC24BRTL000421,0.010355923828575095,0.03199423455432868,0.026301003158913632,0.019682551105958946,0.05858852180088284,0.042468255626580104,-0.02885657014602103,-0.06821313467965398,-0.04950138353224793,-0.0295701805810061
AC24BRTL000451,-0.007978766065969468,-0.0025512772237032038,-0.07136775159184384,-0.013345281604355767,0.009519599226745373,0.015438392690590958,-0.06769423867988997,-0.07925563742691116,-0.08396869610578057,-0.06441258972597219
AC24BRTL000472,0.08358143428596498,0.07941767587168215,-0.030694850104595255,0.055203042149562995,0.09042562024206538,0.0831300293327966,-0.02201823831375141,0.003046537561595869,-0.029175406173053586,-0.011672040448257944
AC24BRTL000499,0.006389019627074951,0.11191747014405935,0.01169060066890684,-0.06491508825666281,0.006145241562902208,-0.03795017539189773,-0.046287923960660796,-0.04115759000783817,0.027298879301028648,0.044576942950967494
AC24BRTL000516,-0.007233194947813906,0.0021050147821758255,0.038617406613819565,0.025138128834272886,0.05908914079201072,0.04398738555767764,-0.026314131901047585,-0.06462781348397154,-0.05798955263753664,-0.03135274098171242
AC24BRTL000517,-0.009933326986845337,0.004414883974091104,0.03247883148565069,0.015561405636230737,0.052611663129637165,0.04002936664346757,-0.0321785626107236,-0.07030875545881211,-0.06415966037980654,-0.039150821081451445
AC24BRTL000595,0.04252841018309193,0.14918812838821388,0.00795379738844279,-0.05442674138351548,0.030221962129318356,-0.03240787843351801,-0.03838360881513077,-0.011037537775588246,0.045878501836694695,0.07012212963770036
AC24BRTL000612,-0.03847699758762342,-0.02369072449789292,0.03427982513782981,0.008952617699097833,0.037597756980226785,0.04127920023929107,-0.04085444606825708,-0.08537290471758915,-0.06604792496147997,-0.0466542835559037
AC24BRTL000613,0.04291491231707803,0.05656764054331685,0.03666604164917601,0.029841903964716456,0.10573797596593079,0.05835160502978051,-0.0367303852100354,-0.05740970710808958,-0.057768213185443965,-0.021973064015834848
AC24BRTL000660,-9.25270310602876e-4,0.06885161409252565,0.035505368277047,-0.06136726681634597,0.0072256003320868645,-0.030608801806467148,-0.03457811258810363,-0.05114260405172633,0.02346947398494001,0.04420671447565941
AC24BRTL000691,-0.03142112775500696,0.008936384309884145,0.031022400394815876,-0.06862285866584227,-0.016548381622459283,-0.04397842276946253,-0.04804315475554053,-0.0749304796860611,0.003946803426495647,0.01671917208260949
AC24BRTL000708,0.010748259509531389,0.006420718344158622,0.03918475188521864,0.025355966592938036,0.06333633320025324,0.05062870502326113,-0.026108475730220574,-0.05379000228460435,-0.055367131227303676,-0.030286962828030946
AC24BRTL000883,0.014401620882175257,0.059289625699160076,0.044260427564943916,-0.055536037521568785,0.012477507146959624,-0.030420547206625664,-0.030052255164910984,-0.04796145555669985,0.024095687532679228,0.04104743755469944
AC24BRTL000900,-0.011982782253213854,0.011257040793160925,0.049085556765767396,0.020260341847358296,0.057061638521041,0.04052206704490582,-0.02691757713812672,-0.0670403391077889,-0.05369911387213474,-0.03355538462250697
AC24BRTL000931,0.0754173468733246,0.021273158947283002,-0.06535775567072143,0.024749667219586834,0.058585016407030954,0.06874272323774791,-0.04964991100274682,-0.026923303992103215,-0.06045115582795482,-0.03651167579575754
AC24BRTL000952,0.07636410674554679,0.00649526871603006,-0.057424476922095805,0.05519866773076122,0.0570121162551821,0.08042262831701993,-0.03475438276365723,0.0029180869862888135,-0.041204978257949186,-0.011818565184009311
AC24BRTL000979,-0.0022481191225334042,0.06363058809993923,0.049465597479085924,-0.0625443027085559,0.011954040627690964,-0.036084543541426005,-0.03696302552734153,-0.056520003938460954,0.011791151292430207,0.030006557357155222
AC24BRTL000996,0.08169297830452656,0.0980443011843018,0.002187524593325197,0.045378412018239854,0.10213356248825553,0.07225302955745012,-0.02372802571497674,-0.008299390823776185,-0.03593763363800884,-0.015598259831755603
AC24BRTL000997,0.0015269946079915653,0.023489510290455068,0.01494579594009687,0.020813287992811264,0.04789418407417486,0.04503919564398089,-0.03566928254533338,-0.057843377747166455,-0.06306117407615199,-0.03638078530464833
AC24BRTL001075,0.03359945762907937,0.10015240809145046,0.04097001877763656,-0.0674264192266786,0.03015766832398653,-0.03981620290814233,-0.04352687019315457,-0.03380082515774981,0.02200814028662592,0.0408018233980694
AC24BRTL001092,0.08467136060205302,0.045695848219763115,-0.04084850058282108,0.04615709877473441,0.07929532250571979,0.08332462450139505,-0.02985884811239576,0.0012069521222584302,-0.04068570000035493,-0.02191964591096784
AC24BRTL001093,0.021663989269425456,0.01000429527762033,0.003121822998972699,0.01681660816648589,0.06711245899024328,0.042882191426405356,-0.0412048957758802,-0.05540751367962292,-0.06586259122405128,-0.038822792562218426
AC24BRTL001123,0.010999128077514502,0.051886306813440926,0.04870102863080928,0.028378639862129143,0.07405783671882629,0.052359110920867,-0.02244986300649471,-0.0552102824848071,-0.048135992673655294,-0.026510288188149177
AC24BRTL001140,0.0020209134738330046,0.08378315144036518,0.021400856865205837,-0.060616520974477485,0.007889088731585881,-0.037320667135359135,-0.03501413180465411,-0.03664889248587285,0.027438036054432832,0.04847047128865132
AC24BRTL001144,0.05056122181367359,0.03435096260840381,0.052984027397117384,0.04509805531831915,0.09879120095427064,0.06542404740040274,-0.020566044988414526,-0.03171465912236421,-0.039817649939069374,-0.02115133960389038
AC24BRTL001267,0.006077062569239069,0.05108482377240028,0.030924010195264785,-0.07360912185506742,0.030887123665257712,-0.0525922756898654,-0.06209991725438397,-0.07043633241083956,0.005008743231602582,0.025148083479368585
AC24BRTL001285,0.07176005781432782,0.12226213418806128,0.005088931137070347,0.02797409263740243,0.10060776927127264,0.060384215013676655,-0.03340444377310728,-0.02179198724226668,-0.0430394738242496,-0.012779218344916892
AC24BRTL001332,0.012149802306465436,0.1257559267896298,0.019163920086384248,-0.05804413701135395,0.01841074222488168,-0.03130085635225301,-0.019316679726595593,0.007051516350401646,0.043904133903530665,0.06588986218311912
AC24BRTL001336,0.06013893532737341,0.02315210880355819,-0.0517490097164056,0.04058180597357811,0.04205644863901117,0.06544899407857051,-0.04066155087499684,-0.0010585487768918994,-0.04824537667969926,-0.023227071183393566
AC24BRTL001363,-0.013339357853613051,0.0753476998444222,0.024483917301466825,-0.08005167832944535,4.960558423086853e-5,-0.051014085457677966,-0.053815672245545086,-0.07109355871553265,0.0027078113235341024,0.02346883485705522
AC24BRTL001380,-0.007863596283961723,0.004917029633361662,0.010732498760684911,-9.42416330584734e-4,0.08200910339955318,0.018752426711903622,-0.043999608890709016,-0.07555995549998296,-0.07701249812730855,-0.056094625476328826
AC24BRTL001381,0.046693317673043556,0.03490929082523093,-0.028661865487788662,0.02994368939200459,0.0868231074165144,0.05052975242608677,-0.03345008643885299,-0.02086971447179159,-0.058328737317946404,-0.04039625071371805
AC24BRTL001411,0.00421938825166957,0.05599445858452469,0.0324441011600097,0.025123631714173797,0.0804214915914483,0.04666311123162531,-0.027023689477719583,-0.05182221631942809,-0.05926807583392039,-0.019961472592614563
AC24BRTL001428,-0.021456186432224387,0.05510019610243329,0.033690386033386144,-0.06666031969458616,-0.01163238580663571,-0.04223400014441139,-0.04122478758252454,-0.06531915498869335,0.005780530158358169,0.02247313109566314
AC24BRTL001432,0.07786802324233942,0.03749575223768854,-0.06404555415776109,0.03070922737325143,0.06637308658618665,0.06534768946413459,-0.04229627333926379,-0.0050401031611288045,-0.045852236386228845,-0.020892264434197262
